"n_obs","se_pct","adj_r2","dw","lm_het_pval","lm_het_pval_no_events","het_diagnosis","ar1_pval","ar4_pval","chow_pval","reset_pval","schwarz","loglik","specification","period"
133,0.887866727480234,0.725978248679822,2.50411189001643,0.000000884985307186734,0.0000000510482699157537,"structural",0.00132783009089931,0.00239936230936239,NA,0.00777479771176815,-824.389109401419,446.426998598262,"Spec1_LogNetWorth","full"
86,1.01885537004893,0.757422876029969,2.52300193135168,0.0000938867746512243,0.0000185266986090379,"structural",0.00691153037348833,0.00391900180709603,0.0365483200937594,0.0250488452842788,-496.552410187317,279.456636167433,"Spec2_LogNetWorth_CCI","full"
133,0.879985215121145,0.730821588331745,2.51021273949357,0.00000275315545508917,0.000000169636750001602,"structural",0.00119359875093916,0.00241003045682245,NA,0.00182036540112631,-826.760910033592,447.612898914348,"Spec3_LevelNetWorth","full"
133,0.885935359341279,0.727169105914394,2.56973917910507,0.000012421487569434,0.00000124927722488335,"structural",0.000291199330031854,0.00051735533402899,NA,0.000175346578026427,-813.664588031468,448.400261605619,"Spec4_Disagg_NoCCI","full"
86,0.940479719613748,0.793308015576144,2.38129751640345,0.0000989167189381101,0.0000320108565097005,"structural",0.0297889376150742,0.005746692428841,0.0164974060381978,0.0000166013160559682,-490.97001391167,290.02847991837,"Spec5_FullDisagg","full"
86,0.909334904307215,0.806770919091027,2.35061120403468,0.000040197246835105,0.0000134859011866199,"structural",0.0555858129507182,0.0038574696307101,0.0407557399477351,0.0101330389448624,-493.601303946337,293.57129858383,"Spec6_Preferred","full"
86,0.856718858198272,0.828485272147454,2.39756254874444,0.000214478566473142,0.0000836600167466155,"structural",0.0263795081055271,0.0000258366597018158,NA,0.0108186222290141,-497.590799209573,300.020393511702,"Spec7_CohortBurden","full"
133,0.865953421186417,0.739337509823824,2.37174253510574,0.00000160179426988079,0.000000214215583344007,"structural",0.00647327495123938,0.000903067985918623,NA,0.00234148018183653,-804.797968147161,453.747649919909,"Spec8_CCI_Interactions","full"
113,0.508853151451296,0.220832865775459,2.00613385618245,0.0376455834989664,0.0186080783659542,"structural",0.928764755557655,0.371507376610426,NA,0.695969038754916,-831.242187994264,441.62172700005,"Spec1_LogNetWorth","precovid"
66,0.507284847487466,0.253429454269399,2.1081438075189,0.0394365603677733,0.0280727273914667,"structural",0.597659679387544,0.826036959196266,0.976603862309829,0.672514883114472,-474.926481091172,260.506341626731,"Spec2_LogNetWorth_CCI","precovid"
113,0.510913456169987,0.21451052453902,2.00287241706294,0.0414046885639333,0.020780483015019,"structural",0.946115070964174,0.356428659644494,NA,0.746423227814218,-830.328980018058,441.165123011947,"Spec3_LevelNetWorth","precovid"
113,0.507697642700675,0.224367528752654,2.03139869742812,0.0809591801906706,0.0506343476511054,"structural",0.816036646802138,0.376100097132547,NA,0.765802242601971,-820.91395579533,443.548692628651,"Spec4_Disagg_NoCCI","precovid"
66,0.481286820754224,0.327991122643197,2.1643063509801,0.596903487084735,0.551068448625892,"structural",0.373860104750208,0.862822640904261,0.95232369215281,0.574534506256536,-464.212671074091,267.71840084427,"Spec5_FullDisagg","precovid"
66,0.482691844540777,0.324061795661955,2.18962364506868,0.66296137532809,0.620423667102624,"structural",0.323012763789633,0.836302447278144,NA,0.774233554808166,-460.971607928265,268.192696642371,"Spec6_Preferred","precovid"
66,0.454275345886476,0.401305309208223,2.43009892729538,0.60603583843106,0.569761743437308,"structural",0.021671530450385,0.169427347130745,0.451381285481825,0.852742851260065,-463.351789025574,273.572441933051,"Spec7_CohortBurden","precovid"
113,0.514905385240587,0.202188014633065,2.0279393882637,0.182180524743312,0.133475052068789,"structural",0.799355506559034,0.424667357720069,NA,0.300321671786697,-803.431348248649,444.262164492736,"Spec8_CCI_Interactions","precovid"
