"n_obs","se_pct","adj_r2","dw","lm_het_pval","lm_het_pval_no_events","het_diagnosis","ar1_pval","ar4_pval","chow_pval","reset_pval","schwarz","loglik","specification","period"
146,0.836371198002302,0.736726477627624,2.34348152640558,0.0000121701095679615,0.000000904543225971872,"structural",0.0118930543844437,0.0366882004124331,NA,0.00000721928062302821,-922.518391685745,498.636245505685,"Spec1_LogNetWorth","full"
86,0.975169157166053,0.777779214284885,2.37410678831344,0.000335952786887134,0.0000710825171119739,"structural",0.0341413433223046,0.220928919493882,NA,0.00252886269746221,-504.090162172831,283.22551216019,"Spec2_LogNetWorth_CCI","full"
146,0.834645172104998,0.737811995701103,2.34797097412219,0.0000170420436667695,0.00000129774598694933,"structural",0.0110198136797312,0.0370029571007944,NA,0.00000267128685990016,-923.121617064349,498.937858194987,"Spec3_LevelNetWorth","full"
146,0.842649930190838,0.732758792797898,2.37185735574783,0.0000633305019749676,0.00000744491624316575,"structural",0.00594365009952334,0.019088297388325,NA,0.000000105442527597857,-908.740151934852,499.222535562801,"Spec4_Disagg_NoCCI","full"
86,0.904929937656039,0.808638451187093,2.26298027635413,0.00129509412893665,0.000467051839148126,"structural",0.0805152630904843,0.0275655804895711,NA,0.0000181342476318032,-497.597614464055,293.342280194562,"Spec5_FullDisagg","full"
86,0.896733555511117,0.812089257963705,2.15939545107192,0.000299433658240799,0.000107501059502882,"structural",0.300841732581545,0.203891482737623,NA,0.000206474653616186,-496.00150882627,294.771401023797,"Spec6_Preferred","full"
86,0.841461301838072,0.834539984431978,2.20430046503194,0.00266811819676367,0.00115261048893051,"structural",0.209910848508752,0.0175778865132669,0.137299131172183,0.0148857290096424,-500.681602380818,301.565795097324,"Spec7_CohortBurden","full"
64,0.848145486636626,0.869080510576871,2.15021728143404,0.00249624488908768,0.00157862733481168,"structural",0.316320599391098,0.00234099297161297,NA,0.0337024221097263,-362.875929617891,227.185678725902,"Spec7b_RBABurden","full"
146,0.794161822214123,0.76262932905177,2.16674174662172,0.0000799433999723093,0.0000132808289237256,"structural",0.182640177327405,0.0291289978206237,NA,0.00000051833911152565,-910.709723456672,510.174534567128,"Spec8_CCI_Interactions","full"
146,0.822426213734143,0.745432512939669,2.17840456930629,0.000168777087723388,0.0000295018991163314,"structural",0.158303402489023,0.0199136701931171,NA,0.00000000749423054026603,-900.498039011304,505.068692344444,"Spec9_KalmanCCI","full"
86,0.988736419599035,0.770390027074662,2.20939646499022,0.000630714879675668,0.000185758304955127,"structural",0.222294523169647,0.181511154192095,0.0150893381227027,0.0293873805648968,-491.9595460291,283.841725032705,"Spec10_WilliamsPrior","full"
126,0.511595824515174,0.234450816776452,1.85427191756309,0.210144244683732,0.13508205063554,"structural",0.363758239751174,0.0658072858361871,NA,0.0492451746027138,-925.300599194688,491.667991039053,"Spec1_LogNetWorth","precovid"
66,0.507764954571721,0.252015639427329,1.98298588227026,0.0816793901792673,0.0606145496334653,"structural",0.96987218396735,0.491659703337191,0.124115851432111,0.0380498499689677,-474.801612065595,260.443907113943,"Spec2_LogNetWorth_CCI","precovid"
126,0.513095731382468,0.229955331642092,1.84692313405198,0.216800132833714,0.140280741719287,"structural",0.340775155115523,0.0608438888270066,NA,0.0497150933485233,-924.56286148555,491.299122184484,"Spec3_LevelNetWorth","precovid"
126,0.510641829580504,0.237303260322745,1.84245818058718,0.417102631279719,0.329768528221072,"structural",0.328726672660916,0.0881489408892422,NA,0.0241804003848468,-914.592697881155,493.568463242714,"Spec4_Disagg_NoCCI","precovid"
66,0.481416355862854,0.327629340631034,2.13291417619564,0.670322011176411,0.628528289912657,"structural",0.4464680922281,0.859292915585851,0.871349389080017,0.251723807890512,-464.17714894254,267.700639778494,"Spec5_FullDisagg","precovid"
66,0.480583743850724,0.329953066327786,2.12523047978556,0.533226942844709,0.492952680593929,"structural",0.445623758566039,0.735993902719291,0.411677109057835,0.0306378513421992,-461.549365194597,268.481575275536,"Spec6_Preferred","precovid"
66,0.459810366470169,0.386627094625603,2.3747116725976,0.514421808603549,0.478893403998251,"structural",0.0394538336527102,0.158030461284522,NA,0.409829262375306,-461.75318259937,272.773138719949,"Spec7_CohortBurden","precovid"
44,0.319707442005624,0.221670812770594,3.19000967048682,0.11592059592527,NA,"ok",0.0000028511272847478,0.00000940398914570093,NA,0.0697478192245892,-331.987585788443,201.943594416445,"Spec7b_RBABurden","precovid"
126,0.495388229307669,0.282188384744279,1.90928075665225,0.608529299070107,0.53046604857783,"structural",0.562987010582129,0.545878032123035,NA,0.751815786155606,-907.472213518348,499.680784875213,"Spec8_CCI_Interactions","precovid"
126,0.496176583520746,0.27990193523934,1.92234560247853,0.555751556808009,0.476315637195432,"structural",0.633254619594536,0.298791594166606,NA,0.274512242242262,-907.071502841678,499.480429536878,"Spec9_KalmanCCI","precovid"
66,0.490268679771241,0.323288205019632,2.10032906081961,0.377011621039484,0.327343251386993,"structural",0.58678041173237,0.735939495569775,NA,0.273872840615758,-470.495184454161,264.575175421266,"Spec10_WilliamsPrior","precovid"
