"date","consumption_real","consumption_nominal","consumption_deflator","gross_disposable_income","final_consumption_hh","mortgage_interest_paid","compensation_employees","gross_mixed_income","gross_operating_surplus_dwellings","total_primary_income_receivable","total_primary_income_payable","total_secondary_income_receivable","total_secondary_income_payable","closing_net_worth","currency_deposits","equities","superannuation","household_debt","housing_wealth","housing_loan_flow","first_home_buyer_loans","non_first_home_buyer_loans","house_price_index","prime_working_age_share","working_age_population","unemployment_rate","illiquid_financial_wealth","liquid_assets","net_liquid_assets","final_consumption_hh_sa","property_income_receivable","non_property_disposable_income","annualised_income","annualised_nonproperty_income","real_gdi","real_nonproperty_income","real_consumption_per_working_age","real_gdi_per_working_age","real_nonproperty_income_per_working_age","real_housing_wealth","real_illiquid_financial_wealth","real_household_debt","nominal_consumption_income_ratio","housing_wealth_income_ratio","illiquid_financial_income_ratio","liquid_assets_income_ratio","net_liquid_assets_income_ratio","debt_income_ratio","mortgage_interest_income_ratio","mortgage_rate_nominal","mortgage_cashflow_pressure","first_home_buyer_share","lcons","lgdi","lperm_income","permanent_income_per_working_age","disposable_permanent_income_ratio","log_disposable_permanent_income_ratio","lcons_perm_income_ratio","annual_consumption_inflation","real_mortgage_rate","credit_conditions_spline","cci_rw_core","cci_rw_augmented","cci_rw_cashflow","cci_trend_core","cci_trend_augmented","credit_conditions_index","centred_log_disposable_permanent_income_ratio","centred_housing_wealth_income_ratio","centred_real_mortgage_rate","cci_x_log_disposable_permanent_income_ratio","cci_x_housing_wealth_income_ratio","cci_x_real_mortgage_rate","cci_spline_x_log_disposable_permanent_income_ratio","cci_spline_x_housing_wealth_income_ratio","cci_spline_x_real_mortgage_rate","long_run_fitted_ratio","ecm_residual","ecm_fitted","d_lcons_actual"
1989-09-01,123324,53592,43.4562615549285,6593,6593,2965,48108,10076,6418,76546,6161,8890,16496,1369900,137800,141500,171600,161000,752800,NA,NA,NA,135.744912035158,0.429055237854355,13073573.84,6.0305223,313100,137800,-23200,6593,11944,810,26372,3240,15171.5765785938,1863.94312583968,0.00943307480489206,0.0011604766045054,0.0001425733428863,1732316.52485446,720494.558889386,370487.460815047,2.03487654320988,232.345679012346,96.6358024691358,42.5308641975309,-7.16049382716049,49.6913580246914,0.915123456790123,NA,NA,NA,-4.66353316921843,-8.85565400374005,-8.85565400374005,0.0001425733428863,8.13950617283951,0,4.19212083452162,NA,NA,0.0269718237331271,-3.14459291146342,2.8941359972917,0.37182620107512,-4.43653864661766,4.28336335905144,2.8941359972917,-0.330519442392234,106.745464193639,NA,-0.956568216032145,308.935890470423,NA,-0.00891471214057478,2.87911984454166,NA,NA,NA,NA,NA
1989-12-01,124200,54709,44.049114331723,6801,6801,3009,49049,10331,6839,78792,6322,9830,15619,1390400,145200,140800,176700,166900,764100,NA,NA,NA,136.155017509584,0.429532175148489,13133094.99,5.8482491,317500,145200,-21700,6801,12573,550,27204,2200,15439.5839806979,1248.60626222377,0.00945702441766927,0.00117562417636164,0.0000950732681956918,1734654.62720942,720786.342283719,378895.245754812,3.09136363636364,347.318181818182,144.318181818182,66,-9.86363636363636,75.8636363636364,1.36772727272727,7.47577639751553,NA,NA,-4.66099748898432,-9.26086271945451,-8.86781026521149,0.000140850675860544,8.34659946911164,-0.393052454243024,4.20681277622717,NA,NA,0.142783088918503,-3.08241635690034,2.81336087988533,0.348486615529155,-3.52006031487214,3.43229867205804,2.81336087988533,-0.723571896635258,221.717966999475,NA,-2.03566886777807,623.772654724029,NA,-0.103313830456202,31.6575761969157,NA,NA,NA,NA,NA
1990-03-01,125580,56210,44.7603121516165,7037,7037,3082,50530,10247,7067,80491,6505,9237,15376,1408100,151600,137300,180000,173800,780500,NA,NA,NA,136.838526633628,0.430003871373456,13187539.36,6.18736,317300,151600,-22200,7037,12647,895,28148,3580,15721.5168119552,1999.53922789539,0.0095226256067834,0.00119214937546584,0.000151623375165827,1743732.25404732,708886.924034869,388290.410958904,1.96564245810056,218.016759776536,88.6312849162011,42.3463687150838,-6.20111731843575,48.5474860335196,0.860893854748603,7.38645895745956,NA,NA,-4.65408466917255,-8.79411090689382,-8.86559928446196,0.000141162438517044,8.44523081344972,0.0714883775681354,4.2115146152894,NA,NA,0.25831265211723,-2.27408955123886,2.37970966151909,0.249006333712641,-2.54104489336671,2.53730909552536,2.37970966151909,-0.259031064824099,92.4165449578296,NA,-0.616418727595486,219.924544920361,NA,-0.0669110013354631,23.8723628275682,NA,NA,NA,NA,NA
1990-06-01,126147,57385,45.4905784521233,7236,7236,3029,51811,10480,7240,81921,6461,9435,16612,1420800,151600,137000,184000,177900,797000,NA,NA,NA,138.068843056908,0.430486049736756,13239192.23,6.6084828,321000,151600,-26300,7236,12390,1307,28944,5228,15906.59043304,2873.12240132439,0.00952830035310999,0.00120147741317598,0.000217016442650776,1752011.13531411,705640.620371177,391069.988672998,1.3840856924254,152.448355011477,61.4001530221882,28.9977046671767,-5.03060443764346,34.0283091048202,0.57938026013772,6.97123130034522,NA,NA,-4.65348892421965,-8.43553743471019,-8.8526974289694,0.000142995495390051,8.40220462818566,0.41715999425921,4.19920850474976,NA,NA,0.373278811342774,-1.28477156817742,1.85069777091519,0.124807652515321,-1.60891280824876,1.6779166376528,1.85069777091519,0.0866405518669759,26.84814019277,NA,0.160345476211074,49.6877932079778,NA,0.0323410822149867,10.0218418579213,NA,NA,NA,NA,NA
1990-09-01,126360,58098,45.9781576448243,7333,7333,2966,52191,10064,7323,81318,6220,10189,16755,1423300,155100,132900,185400,177400,795900,NA,NA,NA,136.838526633628,0.430518660829341,13285671.33,7.3737441,318300,155100,-22300,7333,11740,1813,29332,7252,15948.8774140246,3943.17670143551,0.00951099849314126,0.00120045702003864,0.00029679920596346,1731039.34730972,692285.242177011,385835.381596613,1.0111693325979,109.749034749035,43.8913403199117,21.3872035300607,-3.0750137892995,24.4622173193602,0.408990623276338,6.66891512085441,NA,NA,-4.65530641391516,-8.1224547219999,-8.83079014776032,0.000146162703712302,8.21315554207006,0.708335425760421,4.17548373384516,5.64114991485343,1.02776520600099,-0.374787479104256,-0.307873744724122,1.34449054680782,0.00110226193812852,-0.86078100359362,0.953970468961172,1.34449054680782,0.377815983368187,-15.8511800696719,-0.321025024132404,0.507970018071428,-21.3117617594225,-0.431615110234769,-0.141600699971858,5.94082381913997,0.120316159523967,NA,NA,NA,NA
1990-12-01,125636,58926,46.9021618007577,7399,7399,2820,52006,10914,7421,82023,5768,10549,16267,1424000,157100,128500,187300,180300,801100,NA,NA,NA,137.658737582481,0.430550917453527,13338413.32,8.0196504,315800,157100,-23200,7399,11682,1485,29596,5940,15775.3922546923,3166.16535994298,0.00941911132800314,0.00118270381013297,0.000237371963514996,1708023.61606082,673316.512235685,384417.248752673,1.2456228956229,134.86531986532,53.1649831649832,26.4478114478114,-3.90572390572391,30.3535353535354,0.474747474747475,6.35851183765502,-27.3307684665271,NA,-4.66501453369722,-8.34588218084625,-8.8162429087529,0.000148304508398536,7.97483382605406,0.470360727906643,4.15122837505567,6.27585220194482,0.0826596357101961,-0.442534511697529,-0.748739136760105,0.948821177497761,-0.118800998912616,-0.425057457728465,0.445402775235715,0.948821177497761,0.139841285514409,9.26510504661317,-1.26613059442319,0.132684373184582,8.79092787996796,-1.20133152146655,-0.0618845950002737,-4.10012873762927,0.56030648434837,NA,NA,NA,NA
1991-03-01,125811,59224,47.0737852810962,7483,7483,2644,51807,9277,7454,79771,5482,10943,16197,1454600,158000,133100,193800,181400,818500,NA,NA,NA,137.522035757673,0.430582819609316,13383597.99,9.1849632,326900,158000,-23400,7483,11233,1732,29932,6928,15896.3209678509,3679.33020397136,0.00940038695827563,0.00118774644753439,0.000274913383286056,1738759.68357423,694441.711130623,385352.482101851,1.08010969976905,118.14376443418,47.1853348729792,22.8060046189376,-3.37759815242494,26.1836027713626,0.381639722863741,5.86577925679423,-46.1580050555485,NA,-4.66700442477946,-8.19905447978002,-8.79772725588371,0.000151076042395858,7.86191131762763,0.598672776103692,4.13072283110425,5.03944129875662,0.826337958037612,-0.510070838831975,-0.28342947284474,0.537479000131263,-0.279004736816697,-0.0554283179934795,0.0322367272533605,0.537479000131263,0.268153333711458,-7.45645038452655,-0.522452272095777,0.144126785685099,-4.0076854972037,-0.280807124822345,-0.136777195861794,3.80331790234446,0.266487668677564,NA,NA,NA,NA
1991-06-01,126359,59706,47.2510861909322,7611,7611,2561,51428,10541,7581,80355,5281,11200,16266,1469000,154300,133900,200100,185900,826800,NA,NA,NA,139.162457655378,0.430615430701901,13429303.03,9.5559987,334000,154300,-31600,7611,10805,2087,30444,8348,16107.5662245,4416.829682109,0.00940920014372481,0.00119943426613556,0.000328894930156997,1749801.04512109,706862.057414665,393430.109201755,0.911715380929564,99.0416866315285,40.0095831336847,18.4834690943939,-3.78533780546239,22.2688068998563,0.306780067081936,5.64718853362734,-34.6682098560369,NA,-4.66606732966447,-8.01977221943049,-8.77438860479011,0.000154643420407731,7.75612866666516,0.754616385359622,4.10832127512564,3.79704043141293,1.85014810221441,-0.576810152399881,0.369911772704213,0.146935328559079,-0.446948983690065,0.295473499711173,-0.320503654567084,0.146935328559079,0.424096942967388,-26.5585281871782,0.501357872081019,0.0623148236558142,-3.90238606522859,0.0736671836599054,-0.244623422305343,15.3192286911628,-0.289188310601933,NA,NA,NA,NA
1991-09-01,127893,60951,47.6578076986231,7753,7753,2475,51663,9263,7799,79083,5024,11825,15180,1497200,158200,134900,206200,186300,847300,NA,NA,NA,143.400214224452,0.430394523729407,13475879,10.0322334,341100,158200,-28100,7753,10358,2419,31012,9676,16268.0584239799,5075.76851897426,0.009490512641142,0.00120719831515109,0.000376655839591188,1777882.87148693,715727.425308855,390911.812767633,0.801260851591567,87.5671765192228,35.2521703183134,16.3497312939231,-2.90409260024804,19.2538238941711,0.255787515502274,5.32544378698225,-29.9175037094915,NA,-4.65746264873161,-7.8841786797873,-8.74768230704003,0.000158829015745799,7.60061572806807,0.863503627252728,4.09021965830842,3.58800219309909,1.73744159388315,-0.642166144293599,0.418198457622132,-0.182990304463182,-0.592156321459042,0.571963318712281,-0.594840813488929,-0.182990304463182,0.532984184860494,-38.0330382994839,0.388651363749765,-0.0975309382616826,6.95967725808241,-0.0711194313826004,-0.34226439896133,24.4235295605503,-0.249578747733636,NA,NA,NA,NA
1991-12-01,128061,61494,48.0193033007707,7861,7861,2401,52397,9281,7862,79267,4699,12052,15904,1512000,160400,135900,212900,189400,854500,NA,NA,NA,143.400214224452,0.430176017919658,13512657,10.4747187,348800,160400,-29000,7861,9727,2833,31444,11332,16370.4999024295,5899.71075226851,0.00947711467848255,0.00121149377967853,0.000436606268646389,1779492.70660552,726374.553614987,394424.714606303,0.693699258736322,75.4059301094246,30.780091775503,14.1546064242852,-2.55912460289446,16.7137310271797,0.211877867984469,5.15512614063339,-23.1697762872189,NA,-4.65887536785161,-7.73647875608071,-8.71734620051125,0.000163721097881976,7.39974136107902,0.980867444430539,4.05847083265964,2.35393139430653,2.80119474632686,-0.705552506405463,1.02981751397179,-0.469735278402643,-0.728577562527328,0.79408351050935,-0.802571828129723,-0.469735278402643,0.650348002038305,-50.194284709282,1.45240451619347,-0.305491399796066,23.5780263021361,-0.682245639767394,-0.458854662873911,35.4147033838633,-1.02474764671491,NA,NA,NA,NA
