"n_obs","se_pct","adj_r2","dw","lm_het_pval","lm_het_pval_no_events","het_diagnosis","ar1_pval","ar4_pval","chow_pval","chow_method","reset_pval","schwarz","loglik","specification","period"
146,0.845563873194632,0.730907319102217,2.31529355259724,0.00000306189683984281,0.00000020867521628816,"structural",0.0264617819781098,0.0931227600156522,0.684859079940936,"manual_common_coef",0.00000194894655727944,-919.326487395553,497.040293360589,"Spec1_LogNetWorth","full"
86,0.98859544508073,0.771617945596571,2.43772902462406,0.000103920074338313,0.0000206405228537791,"structural",0.0195727885614799,0.165084629627948,0.989031459816593,"manual_common_coef",0.00318149600712415,-501.738192387251,282.0495272674,"Spec2_LogNetWorth_CCI","full"
146,0.845221013620998,0.731125498472814,2.31727470781146,0.0000052972282445504,0.000000373753624836118,"structural",0.0254970410393687,0.0881393942439097,0.683949673058558,"manual_common_coef",0.00000192949846737461,-919.444911681995,497.09950550381,"Spec3_LevelNetWorth","full"
146,0.852652186126173,0.726376832270036,2.31892622511817,0.0000275452364313951,0.00000306598095062882,"structural",0.0179238800352107,0.0674505758614995,0.0636493046407215,"manual_common_coef",0.0000000103209061751021,-905.294521100193,497.499720145471,"Spec4_Disagg_NoCCI","full"
86,0.920830022816519,0.801854731498153,2.2517594790381,0.000143847809922779,0.0000473219825228371,"structural",0.107001995479541,0.0868918424851135,0.0190778694053095,"sctest",0.000108643066697358,-494.601729081335,291.844337503202,"Spec5_FullDisagg","full"
86,0.914984285470794,0.804362531011019,2.1498002895762,0.000138513399129592,0.0000484446933077979,"structural",0.339181560089037,0.300501929670512,0.954836643501801,"manual_common_coef",0.000332472688143169,-492.536033491862,293.038663356593,"Spec6_Preferred","full"
180,0.830256013117946,0.703069508470054,2.12110452409853,0.00000142398305089817,0.000000195852341668426,"structural",0.275372410422868,0.134257093198867,0.0000384442170294051,"manual_common_coef",0.00000105088770240251,-1113.98804221474,619.309503318051,"Spec6b_LongHistSRCCI","full"
86,0.841928637487754,0.834356145112435,2.21166958570884,0.00241136954180357,0.00103841087458057,"structural",0.203497684937153,0.0499048962722876,0.999996266175521,"manual_common_coef",0.018180075491705,-500.58610254215,301.51804517799,"Spec7_CohortBurden","full"
64,0.837772711511356,0.872263205809174,2.15957474475494,0.00303823627522084,0.00193463633681168,"structural",0.326632560693125,0.00375504346882738,NA,NA,0.108827512531725,-364.451014306084,227.973221069998,"Spec7b_RBABurden","full"
146,0.678754023394641,0.826606073816533,1.91543502358624,0.000000253166147461998,0.0000000366925575532568,"structural",0.494358837482382,0.0572336061836683,0.15057913249196,"sctest",0.00120554500656374,-952.751120693256,533.687036496274,"Spec8_CCI_Interactions","full"
146,0.839627664007268,0.734672341055603,2.17888582438823,0.00012241729782648,0.0000223388680180966,"structural",0.139965533486405,0.0182075619656045,0.000000215227733342102,"manual_common_coef",0.0000000107055274097862,-890.642797328116,502.632874813704,"Spec9_KalmanCCI","full"
86,0.981523310441249,0.778163246657311,2.10134369283621,0.000914391314572573,0.000276349495424488,"structural",0.509546160371592,0.229979310089222,0.215780846552073,"manual_common_coef",0.0845575942581158,-493.218933610391,284.47141882335,"Spec10_WilliamsPrior","full"
146,0.682974147051205,0.824443232559855,1.90294005738319,0.0000000166058753403828,0.00000000204777885722386,"structural",0.448292851605497,0.0554402387448037,0.0066472836473046,"manual_common_coef",0.0014555105739045,-954.752153533781,532.195749605682,"Spec11_LIVES_Headline","full"
146,0.915225268728611,0.686421796512959,2.08236999717453,0.00000567575898162554,0.000000475739736935224,"structural",0.555414006220647,0.00916351709755284,0.0000628772426790994,"manual_common_coef",0.0031054723498604,-892.336528460836,486.037117204085,"Spec12_LIVES_Calibrated","full"
